term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,level,header
leftright,0.03340561626832082,0.005540233724449292,6.029640251619781,0.02254675816840021,0.044264474368241435,Non-Political News,120,(B) Access: Portals,(B) Access
leftright,0.1312237006776054,0.004938871842419125,26.569569906744185,0.12154351186646391,0.14090388948874688,Political News,3,(B) Access: Direct,(B) Access
leftright,0.1036170408877832,0.01167268773124024,8.876879367762694,0.08073857293455233,0.12649550884101407,Political News,3,(B) Access: Facebook,(B) Access
leftright,0.06635915172103425,0.02545279873493311,2.607145580024508,0.01647166620056536,0.11624663724150314,Political News,3,(B) Access: Twitter,(B) Access
leftright,0.13188685795498004,0.009077568122101956,14.528875595421141,0.1140948244356602,0.14967889147429986,Political News,3,(B) Access: Search engines,(B) Access
leftright,0.0504036957958886,0.006988185718716881,7.212701239592035,0.036706851787203516,0.0641005398045737,Political News,3,(B) Access: Portals,(B) Access
leftright,0.1362269207099306,0.005066628875943454,26.88709278801555,0.12629632811308142,0.14615751330677976,Political News,10,(B) Access: Direct,(B) Access
leftright,0.10638518818624532,0.012575626742038671,8.45963309570994,0.08173695977184953,0.1310334166006411,Political News,10,(B) Access: Facebook,(B) Access
leftright,0.0897670049448744,0.02814370417621727,3.189594531793426,0.03460534475948855,0.14492866513026026,Political News,10,(B) Access: Twitter,(B) Access
leftright,0.1378832190376593,0.009553691719481614,14.432454289527866,0.11915798326747533,0.15660845480784324,Political News,10,(B) Access: Search engines,(B) Access
leftright,0.04187959181846645,0.0073329821281549,5.711126944885116,0.027506946847282845,0.05625223678965005,Political News,10,(B) Access: Portals,(B) Access
leftright,0.15631114379678882,0.005496039213289321,28.440689327476296,0.14553890693874175,0.16708338065483588,Political News,30,(B) Access: Direct,(B) Access
leftright,0.1253386760475745,0.01473119075496839,8.508387280593833,0.09646554216783647,0.15421180992731257,Political News,30,(B) Access: Facebook,(B) Access
leftright,0.14387772958769296,0.03354719846359565,4.288815047963677,0.07812522059904549,0.20963023857634044,Political News,30,(B) Access: Twitter,(B) Access
leftright,0.15801964469755214,0.011032126341524968,14.323589107456607,0.13639667706816322,0.17964261232694106,Political News,30,(B) Access: Search engines,(B) Access
leftright,0.053251022153718214,0.008138121605793625,6.543404575794024,0.037300303806362706,0.06920174050107372,Political News,30,(B) Access: Portals,(B) Access
leftright,0.1634437485687622,0.006056900519105432,26.98471735720399,0.15157222355131555,0.17531527358620885,Political News,60,(B) Access: Direct,(B) Access
leftright,0.13543813196307555,0.018332239492507507,7.387975267202346,0.09950694255776084,0.17136932136839028,Political News,60,(B) Access: Facebook,(B) Access
leftright,0.1544354401767205,0.04261637530077817,3.623852077675422,0.07090734458719529,0.23796353576624574,Political News,60,(B) Access: Twitter,(B) Access
leftright,0.18143743655697567,0.013118198187679871,13.830972360775508,0.15572576810912311,0.20714910500482822,Political News,60,(B) Access: Search engines,(B) Access
leftright,0.05520145489211167,0.009617277816821194,5.739821178458734,0.036351590371142134,0.07405131941308121,Political News,60,(B) Access: Portals,(B) Access
leftright,0.18772002108100208,0.007326137215036272,25.62332857972176,0.17336079213953098,0.20207925002247318,Political News,120,(B) Access: Direct,(B) Access
leftright,0.23421101916384984,0.025952238367879892,9.024694357528867,0.18334463196280526,0.2850774063648944,Political News,120,(B) Access: Facebook,(B) Access
leftright,0.23034555143703395,0.09985698396786495,2.3067545431891037,0.03462586286001865,0.4260652400140492,Political News,120,(B) Access: Twitter,(B) Access
leftright,0.26156785063055454,0.018100533760110678,14.45083631771062,0.22609080446073762,0.2970448968003715,Political News,120,(B) Access: Search engines,(B) Access
leftright,0.060707321272389925,0.01314756466660444,4.61738145518234,0.03493809452584522,0.08647654801893463,Political News,120,(B) Access: Portals,(B) Access
leftright,0.028496146324584363,0.012129355302431052,2.349353746680416,0.004722609931819503,0.05226968271734922,Non-Political News,3,(C) Political Interest: Low,(C) Political Interest
leftright,0.10809997248912616,0.0053441086542000225,20.227876992015986,0.09762551952689412,0.1185744254513582,Non-Political News,3,(C) Political Interest: High,(C) Political Interest
leftright,0.029643202188341555,0.012308515526549354,2.408349091683838,0.005518511756304821,0.05376789262037829,Non-Political News,10,(C) Political Interest: Low,(C) Political Interest
leftright,0.10924717111734346,0.005402531135909706,20.22147922317302,0.09865821009096043,0.11983613214372649,Non-Political News,10,(C) Political Interest: High,(C) Political Interest
leftright,0.03711545069174862,0.012863971431109624,2.8852249004526205,0.011902066686773755,0.062328834696723484,Non-Political News,30,(C) Political Interest: Low,(C) Political Interest
leftright,0.11038383225310458,0.005630632970737279,19.604160460604636,0.09934779163045951,0.12141987287574965,Non-Political News,30,(C) Political Interest: High,(C) Political Interest
leftright,0.033436017406651336,0.013717025065993102,2.4375560477428198,0.006550648277304855,0.06032138653599782,Non-Political News,60,(C) Political Interest: Low,(C) Political Interest
leftright,0.1147300158841445,0.005981628137649027,19.18039925652033,0.1030060247343524,0.12645400703393658,Non-Political News,60,(C) Political Interest: High,(C) Political Interest
leftright,0.04292733361074727,0.015575095220859158,2.7561522418980946,0.012400146977863322,0.07345452024363122,Non-Political News,120,(C) Political Interest: Low,(C) Political Interest
leftright,0.12962490233571966,0.006781194685489299,19.115348894656684,0.11633376075216063,0.14291604391927867,Non-Political News,120,(C) Political Interest: High,(C) Political Interest
leftright,0.0511582091390888,0.0219226537662002,2.33357738915547,0.00818980775733641,0.09412661052084119,Political News,3,(C) Political Interest: Low,(C) Political Interest
leftright,0.1574172154457971,0.008205357978330757,19.184685892012844,0.1413347138082688,0.17349971708332537,Political News,3,(C) Political Interest: High,(C) Political Interest
leftright,0.051029363410298,0.022645728500685827,2.2533769849246656,0.006643735548953776,0.09541499127164221,Political News,10,(C) Political Interest: Low,(C) Political Interest
leftright,0.16479993561816736,0.00836388735756669,19.70374881592292,0.14840671639733666,0.18119315483899806,Political News,10,(C) Political Interest: High,(C) Political Interest
leftright,0.08340878486126672,0.026002140260217573,3.207766131039584,0.032444589951240284,0.13437297977129317,Political News,30,(C) Political Interest: Low,(C) Political Interest
leftright,0.18886462285006442,0.008981266292567878,21.02872988036804,0.17126134091663137,0.20646790478349747,Political News,30,(C) Political Interest: High,(C) Political Interest
leftright,0.11077602069610391,0.03007504528979053,3.6833201622379157,0.051828931928114476,0.16972310946409336,Political News,60,(C) Political Interest: Low,(C) Political Interest
leftright,0.1970540003572561,0.009745709542955509,20.219564259401988,0.1779524096530633,0.21615559106144888,Political News,60,(C) Political Interest: High,(C) Political Interest
leftright,0.16771046513740384,0.03668829820297578,4.571224977772364,0.09580140065957131,0.23961952961523636,Political News,120,(C) Political Interest: Low,(C) Political Interest
leftright,0.2100435276221124,0.011431620033385754,18.37390737346812,0.1876375523566763,0.23244950288754848,Political News,120,(C) Political Interest: High,(C) Political Interest
leftright,0.1262178317820305,0.00978520885527299,12.898838813646275,0.10703882242569544,0.14539684113836557,Non-Political News,3,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.18241966209335397,0.01147496781559156,15.897182896277236,0.15992872517479448,0.2049105990119134,Non-Political News,3,(D) Political Extremity: High,(D) Political Extremity
leftright,0.12679817811232952,0.00992889178511754,12.7706274634182,0.10733755021349912,0.14625880601115993,Non-Political News,10,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.18796564119412648,0.01164035057429835,16.14776462224004,0.1651505540685017,0.21078072831975125,Non-Political News,10,(D) Political Extremity: High,(D) Political Extremity
leftright,0.12663308144529314,0.01022849906222962,12.380416782058097,0.10658522328332308,0.14668093960726322,Non-Political News,30,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.20419567070080083,0.01200848379236188,17.004284157062486,0.1806590424677715,0.22773229893383012,Non-Political News,30,(D) Political Extremity: High,(D) Political Extremity
leftright,0.1373389919574081,0.01078135074370689,12.738570075514264,0.11620754449974258,0.1584704394150736,Non-Political News,60,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.21548105948622753,0.01266746895808184,17.010585161035717,0.19065282032838712,0.24030929864406791,Non-Political News,60,(D) Political Extremity: High,(D) Political Extremity
leftright,0.1523654025111269,0.01207057935156671,12.622874020653404,0.12870706698205614,0.17602373804019766,Non-Political News,120,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.23801611438150944,0.01421323976085467,16.74608452304029,0.21015816445023427,0.2658740643127846,Non-Political News,120,(D) Political Extremity: High,(D) Political Extremity
leftright,0.17500232992433726,0.01581161962535911,11.067957240994064,0.1440115554586334,0.20599310439004112,Political News,3,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.3135555421241179,0.01835610305322431,17.08181421813498,0.2775775801397983,0.34953350410843753,Political News,3,(D) Political Extremity: High,(D) Political Extremity
leftright,0.17243018717677855,0.01622901038822712,10.624812175969964,0.14062132681585338,0.20423904753770372,Political News,10,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.3296288332307014,0.01885618566074683,17.481204266931574,0.29267070933563766,0.3665869571257652,Political News,10,(D) Political Extremity: High,(D) Political Extremity
leftright,0.17618188232696474,0.01752668100007061,10.05221024598182,0.14182958756682634,0.21053417708710315,Political News,30,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.38612506974589533,0.02042964166328874,18.90023702372356,0.34608297208584937,0.4261671674059413,Political News,30,(D) Political Extremity: High,(D) Political Extremity
leftright,0.2010748489258787,0.0193554528554772,10.388537557207224,0.1631381613291434,0.2390115365226141,Political News,60,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.39520145454141753,0.02261916310852958,17.471975096743915,0.35086789484869957,0.4395350142341355,Political News,60,(D) Political Extremity: High,(D) Political Extremity
leftright,0.23631347636268177,0.02360027011949552,10.013168288589622,0.19005694692847055,0.282570005796893,Political News,120,(D) Political Extremity: Low,(D) Political Extremity
leftright,0.4581028527800348,0.02743493249434882,16.697794057790993,0.40433038509111113,0.5118753204689586,Political News,120,(D) Political Extremity: High,(D) Political Extremity
leftright,0.06087753147898474,0.004857152328009114,12.533584983104221,0.051357512916086874,0.0703975500418826,Non-Political News,3,(E) Generation: Millennial,(E) Generation
leftright,0.08320545096120903,0.003788093731565174,21.964992647325545,0.07578078724734129,0.09063011467507677,Non-Political News,3,(E) Generation: Boomer,(E) Generation
leftright,0.061517512432108394,0.004924614542160705,12.491843149437074,0.051865267929473415,0.07116975693474338,Non-Political News,10,(E) Generation: Millennial,(E) Generation
leftright,0.08524965660308659,0.003826609665521094,22.278116676287024,0.07774950165866525,0.09274981154750793,Non-Political News,10,(E) Generation: Boomer,(E) Generation
leftright,0.06665993907097258,0.005155673241574834,12.929434420597776,0.0565548195174859,0.07676505862445926,Non-Political News,30,(E) Generation: Millennial,(E) Generation
leftright,0.08996742093371371,0.003973912046470595,22.63950985367623,0.08217855332263134,0.09775628854479608,Non-Political News,30,(E) Generation: Boomer,(E) Generation
leftright,0.07098644298824819,0.005490510584442395,12.928932910063304,0.0602250422427411,0.08174784373375528,Non-Political News,60,(E) Generation: Millennial,(E) Generation
leftright,0.09622797411000956,0.004210919121860269,22.852011953983737,0.08797457263116344,0.10448137558885569,Non-Political News,60,(E) Generation: Boomer,(E) Generation
leftright,0.08147018907896972,0.00628207426185678,12.968676536289424,0.06915732352573042,0.09378305463220901,Non-Political News,120,(E) Generation: Millennial,(E) Generation
leftright,0.1083337567787317,0.004779771315625726,22.6650501927935,0.09896540500010527,0.11770210855735812,Non-Political News,120,(E) Generation: Boomer,(E) Generation
leftright,0.11751169384121211,0.008316586554652798,14.129798694329587,0.10121118419409263,0.1338122034883316,Political News,3,(E) Generation: Millennial,(E) Generation
leftright,0.13213211359432797,0.005920968636723142,22.31596242121867,0.1205270150663506,0.14373721212230534,Political News,3,(E) Generation: Boomer,(E) Generation
leftright,0.11944744860016725,0.008655496120945063,13.800185099860595,0.10248267620311492,0.13641222099721956,Political News,10,(E) Generation: Millennial,(E) Generation
leftright,0.13714521368878257,0.006015743031511717,22.797718082435924,0.1253543573470196,0.14893607003054554,Political News,10,(E) Generation: Boomer,(E) Generation
leftright,0.1437045921282833,0.009567494028805528,15.020086941849323,0.12495230383182446,0.16245688042474213,Political News,30,(E) Generation: Millennial,(E) Generation
leftright,0.15330577029772569,0.006430773693510401,23.839397497758913,0.1407014538584453,0.16591008673700608,Political News,30,(E) Generation: Boomer,(E) Generation
leftright,0.14141962696848429,0.010785374805851459,13.112166198596917,0.12028029234901542,0.16255896158795313,Political News,60,(E) Generation: Millennial,(E) Generation
leftright,0.16392891717236543,0.006939360195729798,23.623059266074797,0.15032777118873503,0.17753006315599584,Political News,60,(E) Generation: Boomer,(E) Generation
leftright,0.1520822101719609,0.013242949790466583,11.48401319783322,0.1261260285826464,0.17803839176127542,Political News,120,(E) Generation: Millennial,(E) Generation
leftright,0.19449463184333832,0.008254330145922795,23.562739605152384,0.17831614475732965,0.21067311892934698,Political News,120,(E) Generation: Boomer,(E) Generation
leftright,0.08425161873531091,0.00431681099537782,19.517096955489237,0.07579066918437039,0.09271256828625143,Non-Political News,3,(F) Gender: Male,(F) Gender
leftright,0.06609351271548101,0.004164460885091362,15.87084487984836,0.05793116938070195,0.07425585605026008,Non-Political News,3,(F) Gender: Female,(F) Gender
leftright,0.08663625981576459,0.004362198775419052,19.86068592379583,0.07808635021594325,0.09518616941558593,Non-Political News,10,(F) Gender: Male,(F) Gender
leftright,0.06684695528454596,0.004217129955672885,15.851291277999012,0.0585813805714271,0.07511252999766481,Non-Political News,10,(F) Gender: Female,(F) Gender
leftright,0.09076325413454872,0.004540344535970829,19.990389146787837,0.0818641788440459,0.09966232942505154,Non-Political News,30,(F) Gender: Male,(F) Gender
leftright,0.07254261677205244,0.004404644621724916,16.469573144278737,0.06390951331347161,0.08117572023063327,Non-Political News,30,(F) Gender: Female,(F) Gender
leftright,0.09786722050959157,0.0048158312651547675,20.321978724154153,0.08842819122988822,0.10730624978929491,Non-Political News,60,(F) Gender: Male,(F) Gender
leftright,0.07669033451881979,0.004686400980288278,16.364441464012813,0.06750498859745477,0.08587568044018482,Non-Political News,60,(F) Gender: Female,(F) Gender
leftright,0.10771445560025522,0.005475450024515994,19.672256183139343,0.09698257355220387,0.11844633764830657,Non-Political News,120,(F) Gender: Male,(F) Gender
leftright,0.0898891194013831,0.00535203205051219,16.79532531812486,0.07939913658237921,0.10037910222038698,Non-Political News,120,(F) Gender: Female,(F) Gender
leftright,0.13988657382054218,0.0067669835082180075,20.67192474322719,0.12662328614443488,0.15314986149664947,Political News,3,(F) Gender: Male,(F) Gender
leftright,0.11370883652307043,0.007050487067922317,16.127798750303768,0.09988988186994269,0.12752779117619817,Political News,3,(F) Gender: Female,(F) Gender
leftright,0.1458008375606154,0.0069089413991280406,21.10320946983521,0.13225931241832445,0.15934236270290636,Political News,10,(F) Gender: Male,(F) Gender
leftright,0.1157719027321273,0.00726641497307302,15.932465068557255,0.10152972938490418,0.13001407607935042,Political News,10,(F) Gender: Female,(F) Gender
leftright,0.1638487230388952,0.007433915107898993,22.040704078634935,0.14927824942741316,0.17841919665037723,Political News,30,(F) Gender: Male,(F) Gender
leftright,0.1350590922685014,0.007953055812573025,16.982037527636336,0.11947110287585828,0.15064708166114454,Political News,30,(F) Gender: Female,(F) Gender
leftright,0.17332131790456862,0.008036420731772844,21.566979092984063,0.15756993327029384,0.1890727025388434,Political News,60,(F) Gender: Male,(F) Gender
